BARCODE,AVAILABILITY,LOCATION,LOCATION 2,FRAME NO.,PKEY,MANUFACTURER,MODEL,SIZE,F COLOUR,F GROUP,SUPPLIER,DISPLAY STOCK,QUANTITY,F TYPE,SUPBARCODE,ISTOCKCODE,TEMPLE,DEPTH,DIAG,BASECURVE,SUNGRX,REORDATE,REORDER,REORDER QTY,RRP,EXLISTPR,LIST PRICE,EXCOSTPR,COST PRICE,EXPREVCOST,PREVCOST,EXAVGCOST,AVGCOST,EXDPRECOST,DPRECOST,WSALEET,WSALEIT,APPORDER,LASTSALE2,LASTSALE,FIRSTPUR,LASTPUR,RETURBY,DQTY,REFRESH,LASTINV,DISPC,TAXPC,FRSTATUS,FRSTATUS2,QTY ON ORDER,QTY ON APPRO,RELEASE,AVAIL FROM,AVAIL TILL,FRANGE,SRV CHARGE,EXLIST SRV,LIST SRV,EXRRP SRV,RRP SRV,MODKEY,ORDERAGAIN,PROSUPPLY,PSSUPFIT,PS CREATED,PS UPDATE AT,USER,MODIFIED,DELFLAG,XFER,PROVISION,PVINACTIVE,LOGSTR,FGID,SUP STATUS,LLAB ORDER,LDOWNLOAD,UUID,NOTE,PHOTO,BARCODE_CLEAN
2679,,OPT,FR,ESS000035,26849,Apollo,6696,52-18,Pink,F,ESS,,1,LS,,,135.0,39,53.0,,,/  /,1.0,1.0,80,12.8,14.08,12.8,14.08,12.8,14.08,12.8,14.08,0.0,0.0,0.0,0.0,0.0,45440,45440,38272.0,43965.0,/  /,0.0,,,0.0,10,PO,DE,1.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,45440.49448,,/  /       :  :,,,,,,F,F,,,,2679.0
3089,,OPT,FR,ESS000068,39231,Apollo,6709,50-17,C.3,F,ESS,,1,LS,,,135.0,33,52.0,,,/  /,0.0,0.0,80,14.08,15.49,14.08,15.49,13.15,14.47,14.08,15.49,0.0,0.0,0.0,0.0,0.0,44985,45162,38561.0,42906.0,/  /,0.0,,,0.0,10,CO,DS,1.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,45162.56249,,/  /       :  :,,,,,,F,F,,,,3089.0
3979,,OPT,CR,ESS000076,59371,Apollo,9827,58-20,C1,F,ESS,,1,MM,,,145.0,46,61.0,,,/  /,0.0,0.0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45202,45336,39513.0,45320.0,/  /,0.0,,,0.0,10,CO,DE,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,45336.41019,,/  /       :  :,,,,,,F,F,,,,3979.0
4054,,OPT,FR,ESS000077,61934,Apollo,9838,46-20,C1,F,ESS,,2,MM,,,135.0,29,47.0,,,/  /,0.0,0.0,80,12.8,14.08,12.8,14.08,12.8,14.08,12.8,14.08,0.0,0.0,0.0,0.0,0.0,45421,45427,39584.0,45548.0,/  /,0.0,,,0.0,10,PO,DE,1.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,45427.52771,,/  /       :  :,,,,,,F,F,,,,4054.0
4056,,OPT,FR,ESS000079,61947,Apollo,9870,44-20,C1,F,ESS,,1,UM,,,130.0,18,44.0,,,/  /,0.0,0.0,80,17.1,18.81,17.1,18.81,17.1,18.81,17.1,18.81,0.0,0.0,0.0,0.0,0.0,42758,44804,39584.0,45146.0,/  /,0.0,,,0.0,10,PO,DE,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,44804.42101,,/  /       :  :,,,,,,F,F,,,,4056.0
4057,,OPT,FR,ESS000080,61949,Apollo,9871,54-21,C1,F,ESS,,1,MM,,,140.0,32,54.0,,,/  /,0.0,0.0,80,15.1,16.61,15.1,16.61,15.1,16.61,15.1,16.61,0.0,0.0,0.0,0.0,0.0,45454,45476,39584.0,45090.0,/  /,0.0,,,0.0,10,PO,DE,1.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,45476.51566,,/  /       :  :,,,,,,F,F,,,,4057.0
4058,,OPT,FR,ESS000081,61951,Apollo,9846,54-17,C1,F,ESS,,1,MM,,,140.0,37,52.0,,,/  /,0.0,0.0,80,15.1,16.61,15.1,16.61,15.1,16.61,15.1,16.61,0.0,0.0,0.0,0.0,0.0,45436,45442,39584.0,43200.0,/  /,0.0,,,0.0,10,PO,DE,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,45442.46852,,/  /       :  :,,,,,,F,F,,,,4058.0
4059,,OPT,FR,ESS000082,61954,Apollo,9876,50-18,C3,F,ESS,,3,LM,,,135.0,28,48.0,,,/  /,0.0,0.0,80,32.89,36.18,32.89,36.18,32.89,36.18,32.89,36.18,0.0,0.0,0.0,0.0,0.0,45272,45336,39584.0,45090.0,/  /,0.0,,,0.0,10,PO,DE,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,45336.42868,,/  /       :  :,,,,,,F,F,,,,4059.0
4060,,OPT,FR,ESS000083,61955,Apollo,9875,51-17,C3,F,ESS,,1,LM,,,135.0,36,49.0,,,/  /,0.0,0.0,80,15.1,16.61,15.1,16.61,15.1,16.61,15.1,16.61,0.0,0.0,0.0,0.0,0.0,45440,45476,39584.0,45090.0,/  /,0.0,,,0.0,10,CO,DE,1.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,45476.46241,,/  /       :  :,,,,,,F,F,,,,4060.0
4062,,OPT,AT,ESS000085,62217,Apollo,9870,44-20,C3,F,ESS,,3,MM,,,130.0,24,44.0,,,/  /,0.0,0.0,80,32.89,36.18,32.89,36.18,32.89,36.18,32.89,36.18,0.0,0.0,0.0,0.0,0.0,45309,45351,39595.0,43965.0,/  /,0.0,,,0.0,10,PO,DE,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,45351.6005,,/  /       :  :,,,,,,F,F,,,,4062.0
4063,,OPT,AT,ESS000086,62218,Apollo,9876,50-18,C2,F,ESS,,2,LM,,,135.0,28,49.0,,,/  /,0.0,0.0,80,13.0,14.3,13.0,14.3,13.0,14.3,13.0,14.3,0.0,0.0,0.0,0.0,0.0,45397,45419,39595.0,45090.0,/  /,0.0,,,0.0,10,CO,DE,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,45419.68439,,/  /       :  :,,,,,,F,F,,,,4063.0
4214,,OPT,FR,ESS000091,72098,Apollo,9846,54-17,C3,F,ESS,,1,MM,,,140.0,38,53.0,,,/  /,0.0,0.0,80,15.1,16.61,15.1,16.61,15.1,16.61,15.1,16.61,0.0,0.0,0.0,0.0,0.0,45421,45455,39848.0,43965.0,/  /,0.0,,,0.0,10,PO,DS,0.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,45455.39262,,/  /       :  :,,,,,,F,F,,,,4214.0
4307,,OPT,FR,OPQ000269,74009,Paparazzi,DOMINIC,55-17,A,F,OPQ,,1,MM,,,140.0,45,59.0,,,/  /,1.0,1.0,200,59.5,65.45,53.55,58.91,53.55,58.91,53.55,58.91,0.0,0.0,0.0,0.0,0.0,43108,43684,39876.0,45250.0,/  /,0.0,,475196.0,9.99,10,PO,,2.0,0.0,/  /,/  /,/  /,F,F,0.0,0.0,0.0,0.0,0.0,,,,F,/  /,,43684.53976,,/  /       :  :,,,,,,F,F,,,,4307.0
